,sign,freq,city,format,state,geometry
399,K209FH,89.10000000000001,"Salmon, ID",Religious,ID,
400,K209FO,88.9,"Olympia, WA",Religious,WA,
401,K209FP,89.70000000000002,"Ephraim, UT",Religious,UT,
402,K209FQ,89.70000000000002,"Shelton, WA",Religious,WA,
403,K209FR,89.70000000000002,"Aberdeen, SD",Religious,SD,
404,K209FS,88.1,"Columbus, NE",Public Radio,NE,
405,K209FV,89.70000000000002,"Los Banos, CA",Spanish Christian,CA,
406,K209FW,89.70000000000002,"Ames, IA",Christian Contemporary,IA,
407,K209FX,89.70000000000002,"Mitchell, SD",Christian Contemporary,SD,
408,K209FY,89.70000000000002,"Palmer, AK",Variety,AK,
409,K209GC,89.70000000000002,"Quinter, KS",Christian Contemporary,KS,
410,K209GE,89.70000000000002,"Alexandria, MN",Classical,MN,
411,K209GG,89.70000000000002,"Paris, TX",Religious,TX,
412,K210AB,89.90000000000002,"Cebecue, AZ",Native American,AZ,
413,K210AD,89.90000000000002,"Santa Barbara, CA",Public Radio,CA,
414,K210AK,89.90000000000002,"Incline Village, Etc, NV",Smooth Jazz,NV,
415,K210AM,89.90000000000002,"Sheridan, Etc., WY",Christian Contemporary,WY,
416,K210AS,89.90000000000002,"Excursion Inlet, AK",Public Radio,AK,
417,K210AV,89.90000000000002,"La Grande, OR",Public Radio,OR,
418,K210AY,89.90000000000002,"Buena Vista, Etc., CO",Public Radio,CO,
419,K210BC,89.90000000000002,"Johnstonville, Etc., CA",Christian Contemporary,CA,
420,K210BG,90.10000000000002,"Canon City, CO",Christian Contemporary,CO,
